label	x	y
T10	1.0000	0.0000
FT10	0.9511	0.3090
F10	0.8090	0.5878
Nz	0.0000	1.0000
F9	-0.8090	0.5878
FT9	-0.9511	0.3090
T9	-1.0000	0.0000
TP9	-0.9511	-0.3090
P9	-0.8090	-0.5878
PO9	-0.5878	-0.8090
I1	-0.3090	-0.9511
Iz	0.0000	-1.0000
I2	0.3090	-0.9511
PO10	0.5878	-0.8090
P10	0.8090	-0.5878
TP10	0.9511	-0.3090
T8	0.8000	0.0000
FT8	0.7608	0.2472
F8	0.6472	0.4702
AF8	0.4702	0.6472
Fp2	0.2472	0.7608
Fpz	0.0000	0.8000
Fp1	-0.2472	0.7608
AF7	-0.4702	0.6472
F7	-0.6472	0.4702
FT7	-0.7608	0.2472
T7	-0.8000	0.0000
TP7	-0.7608	-0.2472
P7	-0.6472	-0.4702
PO7	-0.4702	-0.6472
O1	-0.2472	-0.7608
Oz	0.0000	-0.8000
O2	0.2472	-0.7608
PO8	0.4702	-0.6472
P8	0.6472	-0.4702
TP8	0.7608	-0.2472
AFz	0.0000	0.6000
Fz	0.0000	0.4000
FCz	0.0000	0.2000
Cz	-0.0000	0.0000
CPz	0.0000	-0.2000
Pz	0.0000	-0.4000
POz	0.0000	-0.6000
C5	-0.6000	0.0000
C3	-0.4000	0.0000
C1	-0.2000	0.0000
C2	0.2000	0.0000
C4	0.4000	0.0000
C6	0.6000	0.0000
FC4	-0.3812	0.2118
FC2	-0.1907	0.2030
FC6	-0.5713	0.2266
FC3	0.3812	0.2118
FC1	0.1907	0.2030
FC5	0.5713	0.2266
F4	-0.3255	0.4176
F2	-0.1630	0.4044
F6	-0.4871	0.4396
F3	0.3255	0.4176
F1	0.1630	0.4044
F5	0.4871	0.4396
AF4	-0.2363	0.6118
AF2	-0.1183	0.6030
AF6	-0.3537	0.6266
AF3	0.2363	0.6118
AF1	0.1183	0.6030
AF5	0.3537	0.6266
CP4	0.3812	-0.2118
CP2	0.1907	-0.2030
CP6	0.5713	-0.2266
CP3	-0.3812	-0.2118
CP1	-0.1907	-0.2030
CP5	-0.5713	-0.2266
P4	0.3255	-0.4176
P2	0.1630	-0.4044
P6	0.4871	-0.4396
P3	-0.3255	-0.4176
P1	-0.1630	-0.4044
P5	-0.4871	-0.4396
PO4	0.2363	-0.6118
PO2	0.1183	-0.6030
PO6	0.3537	-0.6266
PO3	-0.2363	-0.6118
PO1	-0.1183	-0.6030
PO5	-0.3537	-0.6266
A1	-1.1000	0.1000
A2	1.1000	0.1000
M1	-1.1000	-0.1000
M2	1.1000	-0.1000
