label	x	y
T10	1.0000	0.0000
FT10	0.9511	0.3090
F10	0.8090	0.5878
Nz	0.0000	1.0000
F9	-0.8090	0.5878
FT9	-0.9511	0.3090
T9	-1.0000	0.0000
TP9	-0.9511	-0.3090
P9	-0.8090	-0.5878
PO9	-0.5878	-0.8090
I1	-0.3090	-0.9511
Iz	0.0000	-1.0000
I2	0.3090	-0.9511
PO10	0.5878	-0.8090
P10	0.8090	-0.5878
TP10	0.9511	-0.3090
FTT10h	0.8889	0.1408
FFT10h	0.8019	0.4086
FTT9h	-0.8889	0.1408
FFT9h	-0.8019	0.4086
TPP10h	0.8019	-0.4086
PPO10h	0.6364	-0.6364
POO10h	0.4086	-0.8019
O2h	0.1408	-0.8889
O1h	-0.1408	-0.8889
POO9h	-0.4086	-0.8019
PPO9h	-0.6364	-0.6364
TPP9h	-0.8019	-0.4086
T8	0.8000	0.0000
FT8	0.7608	0.2472
F8	0.6472	0.4702
AF8	0.4702	0.6472
Fp2	0.2472	0.7608
Fpz	0.0000	0.8000
Fp1	-0.2472	0.7608
AF7	-0.4702	0.6472
F7	-0.6472	0.4702
FT7	-0.7608	0.2472
T7	-0.8000	0.0000
TP7	-0.7608	-0.2472
P7	-0.6472	-0.4702
PO7	-0.4702	-0.6472
O1	-0.2472	-0.7608
Oz	0.0000	-0.8000
O2	0.2472	-0.7608
PO8	0.4702	-0.6472
P8	0.6472	-0.4702
TP8	0.7608	-0.2472
AFz	0.0000	0.6000
Fz	0.0000	0.4000
FCz	0.0000	0.2000
Cz	0.0000	0.0000
CPz	0.0000	-0.2000
Pz	0.0000	-0.4000
POz	0.0000	-0.6000
C5	-0.6000	0.0000
C3	-0.4000	0.0000
C1	-0.2000	0.0000
C2	0.2000	0.0000
C4	0.4000	0.0000
C6	0.6000	0.0000
AFp4	0.1817	0.7032
AFp3	-0.1817	0.7032
AF4h	-0.1774	0.6067
AF6h	-0.2951	0.6185
AF3h	0.1774	0.6067
AF5h	0.2951	0.6185
AFF2h	0.0713	0.5010
AFF4h	0.2138	0.5093
AFF6h	0.3555	0.5257
AFF8h	0.4960	0.5503
AFF1h	-0.0713	0.5010
AFF3h	-0.2138	0.5093
AFF5h	-0.3555	0.5257
AFF7h	-0.4960	0.5503
F4	-0.3255	0.4176
F2	-0.1630	0.4044
F6	-0.4871	0.4396
F3	0.3255	0.4176
F1	0.1630	0.4044
F5	0.4871	0.4396
FFC2h	0.0896	0.3010
FFC4h	0.2685	0.3089
FFC6h	0.4469	0.3247
FFT8h	0.6245	0.3484
FFC1h	-0.0896	0.3010
FFC3h	-0.2685	0.3089
FFC5h	-0.4469	0.3247
FFT7h	-0.6245	0.3484
FC4	-0.3812	0.2118
FC2	-0.1907	0.2030
FC6	-0.5713	0.2266
FC3	0.3812	0.2118
FC1	0.1907	0.2030
FC5	0.5713	0.2266
FCC2h	0.0988	0.1004
FCC4h	0.2965	0.1035
FCC6h	0.4940	0.1098
FTT8h	0.6915	0.1193
FCC1h	-0.0988	0.1004
FCC3h	-0.2965	0.1035
FCC5h	-0.4940	0.1098
FTT7h	-0.6915	0.1193
CCP2h	-0.0988	-0.1004
CCP4h	-0.2965	-0.1035
CCP6h	-0.4940	-0.1098
TTP8h	-0.6915	-0.1193
CCPh	0.0988	-0.1004
CCP3h	0.2965	-0.1035
CCP5h	0.4940	-0.1098
TTP7h	0.6915	-0.1193
CP4	0.3812	-0.2118
CP2	0.1907	-0.2030
CP6	0.5713	-0.2266
CP3	-0.3812	-0.2118
CP1	-0.1907	-0.2030
CP5	-0.5713	-0.2266
CPP2h	-0.0896	-0.3010
CPP4h	-0.2685	-0.3089
CPP6h	-0.4469	-0.3247
TPP8h	-0.6245	-0.3484
CPPh	0.0896	-0.3010
CPP3h	0.2685	-0.3089
CPP5h	0.4469	-0.3247
TPP7h	0.6245	-0.3484
P4	0.3255	-0.4176
P2	0.1630	-0.4044
P6	0.4871	-0.4396
P3	-0.3255	-0.4176
P1	-0.1630	-0.4044
P5	-0.4871	-0.4396
PPO2h	-0.0713	-0.5010
PPO4h	-0.2138	-0.5093
PPO6h	-0.3555	-0.5257
PPO8h	-0.4960	-0.5503
PPOh	0.0713	-0.5010
PPO3h	0.2138	-0.5093
PPO5h	0.3555	-0.5257
PPO7h	0.4960	-0.5503
PO4h	0.1774	-0.6067
PO6h	0.2951	-0.6185
PO3h	-0.1774	-0.6067
PO5h	-0.2951	-0.6185
POO4	-0.1817	-0.7032
POO3	0.1817	-0.7032
A1	-1.1000	0.1000
A2	1.1000	0.1000
M1	-1.1000	-0.1000
M2	1.1000	-0.1000
AF4	-0.2363	0.6118
AF2	-0.1183	0.6030
AF6	-0.3537	0.6266
AF3	0.2363	0.6118
AF1	0.1183	0.6030
AF5	0.3537	0.6266
PO4	0.2363	-0.6118
PO2	0.1183	-0.6030
PO6	0.3537	-0.6266
PO3	-0.2363	-0.6118
PO1	-0.1183	-0.6030
PO5	-0.3537	-0.6266
