label	x	y
T10	1.0000	0.0000
FT10	0.9511	0.3090
F10	0.8090	0.5878
NZ	0.0000	1.0000
F9	-0.8090	0.5878
FT9	-0.9511	0.3090
T9	-1.0000	0.0000
TP9	-0.9511	-0.3090
P9	-0.8090	-0.5878
PO9	-0.5878	-0.8090
I1	-0.3090	-0.9511
IZ	0.0000	-1.0000
I2	0.3090	-0.9511
PO10	0.5878	-0.8090
P10	0.8090	-0.5878
TP10	0.9511	-0.3090
FTT10H	0.8889	0.1408
FFT10H	0.8019	0.4086
FTT9H	-0.8889	0.1408
FFT9H	-0.8019	0.4086
TPP10H	0.8019	-0.4086
PPO10H	0.6364	-0.6364
POO10H	0.4086	-0.8019
OI2H	0.1408	-0.8889
OI1H	-0.1408	-0.8889
POO9H	-0.4086	-0.8019
PPO9H	-0.6364	-0.6364
TPP9H	-0.8019	-0.4086
T8	0.8000	0.0000
FT8	0.7608	0.2472
F8	0.6472	0.4702
AF8	0.4702	0.6472
FP2	0.2472	0.7608
FPZ	0.0000	0.8000
FP1	-0.2472	0.7608
AF7	-0.4702	0.6472
F7	-0.6472	0.4702
FT7	-0.7608	0.2472
T7	-0.8000	0.0000
TP7	-0.7608	-0.2472
P7	-0.6472	-0.4702
PO7	-0.4702	-0.6472
O1	-0.2472	-0.7608
OZ	0.0000	-0.8000
O2	0.2472	-0.7608
PO8	0.4702	-0.6472
P8	0.6472	-0.4702
TP8	0.7608	-0.2472
AFZ	0.0000	0.6000
FZ	0.0000	0.4000
FCZ	0.0000	0.2000
CZ	0.0000	0.0000
CPZ	0.0000	-0.2000
PZ	0.0000	-0.4000
POZ	0.0000	-0.6000
C5	-0.6000	0.0000
C3	-0.4000	0.0000
C1	-0.2000	0.0000
C2	0.2000	0.0000
C4	0.4000	0.0000
C6	0.6000	0.0000
AFP4	0.1817	0.7032
AFP3	-0.1817	0.7032
AF4H	0.1774	0.6067
AF6H	0.2951	0.6185
AF3H	-0.1774	0.6067
AF5H	-0.2951	0.6185
AFF2H	0.0713	0.5010
AFF4H	0.2138	0.5093
AFF6H	0.3555	0.5257
AFF8H	0.4960	0.5503
AFF1H	-0.0713	0.5010
AFF3H	-0.2138	0.5093
AFF5H	-0.3555	0.5257
AFF7H	-0.4960	0.5503
F4	0.3255	0.4176
F2	0.1630	0.4044
F6	0.4871	0.4396
F3	-0.3255	0.4176
F1	-0.1630	0.4044
F5	-0.4871	0.4396
FFC2H	0.0896	0.3010
FFC4H	0.2685	0.3089
FFC6H	0.4469	0.3247
FFT8H	0.6245	0.3484
FFC1H	-0.0896	0.3010
FFC3H	-0.2685	0.3089
FFC5H	-0.4469	0.3247
FFT7H	-0.6245	0.3484
FC4	0.3812	0.2118
FC2	0.1907	0.2030
FC6	0.5713	0.2266
FC3	-0.3812	0.2118
FC1	-0.1907	0.2030
FC5	-0.5713	0.2266
FCC2H	0.0988	0.1004
FCC4H	0.2965	0.1035
FCC6H	0.4940	0.1098
FTT8H	0.6915	0.1193
FCC1H	-0.0988	0.1004
FCC3H	-0.2965	0.1035
FCC5H	-0.4940	0.1098
FTT7H	-0.6915	0.1193
CCP2H	0.0988	-0.1004
CCP4H	0.2965	-0.1035
CCP6H	0.4940	-0.1098
TTP8H	0.6915	-0.1193
CCP1H	-0.0988	-0.1004
CCP3H	-0.2965	-0.1035
CCP5H	-0.4940	-0.1098
TTP7H	-0.6915	-0.1193
CP4	0.3812	-0.2118
CP2	0.1907	-0.2030
CP6	0.5713	-0.2266
CP3	-0.3812	-0.2118
CP1	-0.1907	-0.2030
CP5	-0.5713	-0.2266
CPP2H	0.0896	-0.3010
CPP4H	0.2685	-0.3089
CPP6H	0.4469	-0.3247
TPP8H	0.6245	-0.3484
CPP1H	-0.0896	-0.3010
CPP3H	-0.2685	-0.3089
CPP5H	-0.4469	-0.3247
TPP7H	-0.6245	-0.3484
P4	0.3255	-0.4176
P2	0.1630	-0.4044
P6	0.4871	-0.4396
P3	-0.3255	-0.4176
P1	-0.1630	-0.4044
P5	-0.4871	-0.4396
PPO2H	0.0713	-0.5010
PPO4H	0.2138	-0.5093
PPO6H	0.3555	-0.5257
PPO8H	0.4960	-0.5503
PPO1H	-0.0713	-0.5010
PPO3H	-0.2138	-0.5093
PPO5H	-0.3555	-0.5257
PPO7H	-0.4960	-0.5503
PO4H	0.1774	-0.6067
PO6H	0.2951	-0.6185
PO3H	-0.1774	-0.6067
PO5H	-0.2951	-0.6185
POO4	0.1817	-0.7032
POO3	-0.1817	-0.7032
A1	-1.1000	0.1000
A2	1.1000	0.1000
M1	-1.1000	-0.1000
M2	1.1000	-0.1000
AF4	0.2363	0.6118
AF2	0.1183	0.6030
AF6	0.3537	0.6266
AF3	-0.2363	0.6118
AF1	-0.1183	0.6030
AF5	-0.3537	0.6266
PO4	0.2363	-0.6118
PO2	0.1183	-0.6030
PO6	0.3537	-0.6266
PO3	-0.2363	-0.6118
PO1	-0.1183	-0.6030
PO5	-0.3537	-0.6266
O9	-0.3090	-0.9511
O10	0.3090	-0.9511
T3	-0.8000	0.0000
T4	0.8000	0.0000
T5	-0.6472	-0.4702
T6	0.6472	-0.4702
LPA	-1.1000	0.1000
RPA	1.1000	0.1000
NAS	0.0000	1.0000
